Country in Arabic,Country in English,Delivery Cost in JOD,Delivery Cost in Dollar
الإمارات العربية المتحدة,United Arab Emirates,11,16
البحرين,Bahrain,13,18
كندا,Canada,22,31
ألمانيا,Germany,20,29
الجزائر,Algeria,13,19
مصر,Egypt,12,17
إسبانيا,Spain,17,23
فرنسا,France,17,24
اليونان,Greece,13,18
إندونيسيا,Indonesia,20,28
الهند,India,17,24
العراق,Iraq,10,14
إيران,Iran,19,26
إيطاليا,Italy,17,24
اليابان,Japan,19,27
كوريا الشمالية,North Korea,18,25
كوريا الجنوبية,South Korea,20,28
الكويت,Kuwait,10,15
لبنان,Lebanon,11,16
ليبيا,Libya,13,19
المغرب,Morocco,14,19
موريتانيا,Mauritania,17,24
هولندا,Netherlands,16,22
النرويج,Norway,24,33
عمان,Oman,13,18
الفلبين,Philippines,16,22
باكستان,Pakistan,13,18
بولندا,Poland,18,25
قطر,Qatar,10,15
رومانيا,Romania,20,29
روسيا,Russia,22,30
السعودية,Saudi Arabia,10,14
السويد,Sweden,21,29
تونس,Tunisia,15,20
تركيا,Turkey,15,21
سوريا,Syria,10,15
فلسطين (الضفة),Palestine (West Bank),14,20
فلسطين (القدس),Palestine (Jerusalem),16,23
فلسطين (الداخل),Palestine (Interior),24,34
