date,count
2026-01-31,8
2026-02-01,4
2026-02-02,2
2026-02-05,12
2026-02-06,17
2026-02-07,8
2026-02-08,2
2026-02-14,3
2026-02-15,1
2026-02-17,2
2026-02-19,2
2026-02-20,8
2026-02-21,10
2026-02-22,3
2026-02-23,12
2026-02-24,2
2026-02-25,2
2026-02-26,1
2026-02-27,2
2026-02-28,1
2026-03-01,1
2026-03-02,3
2026-03-03,3
2026-03-04,3
2026-03-05,7
2026-03-07,1
2026-03-08,12
2026-03-09,1
2026-03-11,3
2026-03-12,2
2026-03-13,5
2026-03-30,7
2026-03-14,5
2026-03-15,3
2026-03-31,8
2026-03-16,10
2026-03-17,4
2026-03-18,4
2026-04-01,10
2026-04-02,2
2026-04-03,2
2026-03-19,12
2026-03-20,3
2026-03-21,2
2026-03-22,6
2026-03-23,2
2026-03-24,3
2026-03-28,6
2026-03-29,2
2026-04-04,1
2026-04-05,38
2026-04-06,2
2026-04-07,16
2026-04-08,5
2026-04-11,18
2026-04-12,14
2026-04-13,8
2026-04-14,5
2026-04-15,1
2026-04-16,3
2026-04-17,2
2026-04-19,6
2026-04-20,3
2026-04-21,21
2026-04-22,2
2026-04-23,14
2026-04-24,24
2026-04-25,3
2026-04-26,8
2026-04-27,4
2026-04-28,2
2026-04-29,6
2026-04-30,2
2026-05-01,3
2026-05-02,5
2026-05-03,7
2026-05-04,63
2026-05-05,26
2026-05-06,7
2026-05-07,30
2026-05-17,41
