 Product Name,No,category,collection,target market,Calculate on Weight,Dimensions(mm) x y z,description (80 word),Price < 25 QTY,Price >=25 QTY,discount cal,Document Link,Discount %,calc,Name on Store,Arabic Name,Available,Hidden,Colors,
Modern Matte White Sauropod Ring Holder,JWHLD-1225-011,Jewelry Organizer,The Prehistoric Modern Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",13,52.3 * 31.32 * 83.5,"Add a whimsical touch to your vanity with this Modern Matte White Sauropod Ring Holder.

Modeled after a gentle giant, this minimalist figure features an elongated neck designed to securely stack your favorite rings.

Its clean lines and smooth finish make it a stylish accent piece that functions as both a jewelry organizer and a charming decorative sculpture, perfect for holding wedding bands or everyday accessories.",1.05,0.84,20,https://drive.google.com/file/d/1GmeYzZ25jadH3oXa0lV494vHH-8EtdPF/view?usp=drive_link,20% Discount,,Valentinosaurus - Ringosaurus V2 - Ring Holder,حامل خواتم عصري على شكل ديناصور (سوروبود) أبيض مطفي,,,"Black,White,,",
Modern Speckled Stone Dual-Tier Jewelry Organizer,JWHLD-1225-003,Jewelry Organizer,The Stone & Structure Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",137,140 * 150 * 149.1,"Organize your jewelry in style with this Modern Speckled Stone Dual-Tier Jewelry Organizer.

Featuring a contemporary white finish with subtle dark speckling, this stand offers two T-bars at different heights to keep necklaces tangle-free and bracelets easily accessible.
The integrated circular base tray is perfect for corralling rings and stud earrings. 

Sturdy and aesthetically pleasing, this piece serves as both a functional storage solution and a chic, industrial-inspired accent for your dressing table or retail display.",6.9,6.9,0,https://drive.google.com/file/d/1gEzlEJqxqYltrKhNQ8rUP9yJ9ywFY5ll/view?usp=drive_link,,,"Jewelry Organizer - Necklace, Bracelet, Ring Stand",منظم مجوهرات عصري من الحجر المرقط بمستويين,,,"Black,White,,",
Sculpted Tree Jewelry Organizer with Drawer Base,JWHLD-1225-005,Jewelry Organizer,The Botanical Storage Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",185,121 * 184.5 * 241,"Bring a touch of organic elegance to your vanity with this Sculpted Tree Jewelry Organizer.

Modeled with intricate branching limbs, it provides ample hanging space to keep necklaces, bracelets, and earrings tangle- free while showcasing them like art.

The sturdy base enhances functionality with two compact pull-out drawers, perfect for concealing rings, studs, or delicate keepsakes.

Finished with a modern speckled texture, this piece effortlessly blends whimsical nature-inspired design with practical, clutter-free storage.",7.44,7.44,0,https://drive.google.com/file/d/1tVjZeA9mwUhSZY2-ADTcQUjzbnyQhpJE/view?usp=drive_link,,,Jewelry Tree Stand - Elegant Organizer with Drawer,منظم مجوهرات على شكل شجرة منحوتة مع قاعدة بـدُرج,,,"Black,White,,",
Whimsical Long-Neck Dinosaur Ring Holder Dish,JWHLD-1225-007,Jewelry Organizer,The Prehistoric Modern Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",32,88.3 * 88.3 * 86.1,"Add a playful touch to your dresser with this Whimsical Long-Neck Dinosaur Ring Holder Dish.

Crafted in a sleek matte black finish, this adorable sauropod features a long neck designed to securely stack your favorite rings, while the integrated base tray keeps necklaces, earrings, and bracelets organized.

It is the perfect blend of fun and function, making it a delightful accent piece for any bedside table or bathroom vanity.",2.475,1.98,20,Ringosaurus Ring Holder with Tray,20% Discount,,Ringosaurus Ring Holder with Tray,طبق وحامل خواتم بتصميم ديناصور طويل العنق مرح,,,"Black,White,,",
Geometric Low-Poly Hand Ring Display Stand,JWHLD-1225-001,Jewelry Organizer,The Modern Facets Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",43,69.8 * 67.2 * 115.8,"Elevate your vanity with this striking Geometric Low-Poly Hand Ring Display Stand. Crafted with a sleek, faceted design, this white sculptural piece functions as both a practical jewelry organizer and a modern art accent.

Its distinct geometric planes catch the light beautifully, while the slender fingers provide secure, accessible storage for multiple rings.

Perfect for showcasing wedding bands or statement pieces, this durable stand adds a touch of contemporary elegance and minimalist sophistication to any dresser, nightstand, or retail counter display.",2.64,2.2,16.66666667,https://drive.google.com/file/d/1GMi0OkwisjrTWbO5vcMFLE9GzmgryYsj/view?usp=drive_link,16.67% Discount,,Crystal Hand Ring Stand v2,حامل عرض خواتم على شكل يد بتصميم هندسي مضلع,,,"Black,White,,",
Minimalist Sculpted Necklace Bust Display,JWHLD-1225-010,Jewelry Organizer,The Timeless Silhouette Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",90,118.5 * 125.9 * 202.7,"Highlight your finest chains and pendants with this Minimalist Sculpted Necklace Bust Display.

Featuring a graceful, elongated neck design in a matte white finish, this stand offers a clean, distraction-free background that makes gold and silver jewelry pop. 

Its balanced structure ensures stability on any counter or vanity, while the smooth curvature allows necklaces to drape naturally.
Ideal for professional retail merchandising or personal organization, this elegant bust adds museum-quality sophistication to your collection.",4.55,4.55,0,https://drive.google.com/file/d/1OdxhJYiO23pzawAjMfANjltVmHtl1WuF/view?usp=drive_link,,,V2 Necklace Display Bust / Halsketten Büste,حامل عرض قلائد منحوت بتصميم تمثال نصفي بسيط,,,"Black,White,,",
Geometric Honeycomb Cork & Keepsake Display,JWHLD-1225-006,Jewelry Organizer,The Geometric Lattice Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",245,60 * 160 * 141.8,"Streamline your beauty station with this Geometric Honeycomb Lipstick Organizer.

Crafted with a clean white finish, this modern storage unit features a precise hexagonal grid designed to hold standard lipstick tubes securely.

Its structural design keeps your favorite shades visible and easily accessible, eliminating clutter from your vanity orn bbathroom counter while adding a chic, architectural touch to your makeup display.",9.84,9.84,0,https://drive.google.com/file/d/1OvocGI2_ec5KjQAW3PyrrPc7qhXV6GUa/view?usp=drive_link,,,Lipstick Holder Organizer,لوحة عرض تذكارات وفلين بتصميم خلية نحل هندسي,,,"Black,White,,",
Rotating Cube Cosmetic Storage Box,JWHLD-1225-009,Jewelry Organizer,The Kinetic,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",130,100 * 100 * 54.2,"Declutter your beauty station with this Rotating Cube Cosmetic Storage Box.

Designed as a discreet, minimalist cube, this organizer features a smooth swivel mechanism that opens to expose four separate compartments.

Perfect for separating beauty sponges, cotton pads, hair accessories, or small cosmetic samples, it keeps items dust-free and hygienic when closed.

This compact, modern solution adds both kinetic style and practical efficiency to any bathroom counter or dressing table.",6.55,6.55,0,https://drive.google.com/file/d/13pUflI9iv3JMkqJ-C_gHKpndiQOkzoPl/view?usp=drive_link,,,Rotating Storage Box,صندوق تخزين مستحضرات تجميل مكعب الشكل قابل للدوران,,,"Black,White,,",
Radial Tiered Jewelry Carousel Organizer,JWHLD-1225-008,Jewelry Organizer,Beauty Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",147,150 * 150 * 71,"Optimize your vanity space with this Radial Tiered Jewelry Carousel Organizer.

This clever cylindrical unit features a segmented top tray with radial dividers, ideal for sorting stud earrings, rings, and small findings for quick visibility.

The base is equipped with multiple smooth-gliding, curved drawers that offer concealed, dust-free storage for delicate chains or charms.

Finished in a crisp matte white, its compact, architectural design brings order and modern efficiency to your daily accessory routine.",7.4,7.4,0,https://drive.google.com/file/d/1RKBP5LiJqyAWByC-YPiXCruf-RbrY2dG/view?usp=drive_link,,,Rotating Jewelry Box with Automatic Drawer Opening,منظم مجوهرات دوار (كاروسيل) متعدد الطبقات بتصميم شعاعي,,,"Black,White,,",
Minimalist Sculpted Mannequin Headphone Stand,JWHLD-1225-002,Stands,The Sculptural Studio Collection,"Audiophiles, PC Gamers, Streamers, Modern Home Office Designers, and Accessory Enthusiasts",366,142.8 * 184.1 * 260,"Showcase your audio gear with this Minimalist Sculpted Mannequin Headphone Stand.

Designed with a sleek, artistic human profile in a matte white finish, this display piece provides a secure and stylish resting place for over-ear headphones or VR headsets.

Its realistic contours support the headband naturally to prevent deformation, while the sturdy design keeps your workspace clutter-free. Blending utility with modern art, this stand transforms your tech setup into a sophisticated visual statement.",14.68,14.68,0,https://drive.google.com/file/d/1g0u6dt7bdzNAndHfnxicmUccj0zIORuy/view?usp=drive_link,,,"Human head, mannequin for headphones",حامل سماعات رأس على شكل مانيكان منحوت بتصميم بسيط,,,"Black,White,,",
Abstract Sculpted Profile Eyeglass Stand,JWHLD-1225-004,Stands,The Modern Silhouette Collection,"Daily Glasses Wearers, Minimalist Interior Designers, and Art-Loving Professionals",41,113.6 * 90 * 181.9,"Transform your eyewear into a modern art display with this Abstract Sculpted Profile Eyeglass Stand.

Designed with sleek, flowing lines that mimic a human face in profile, this matte bwhite holder provides a secure and stylish resting place for reading glasses or sunglasses.

The nose bridge offers perfect stability, keeping your lenses safe from scratches while adding a touch of avant-garde elegance to your nightstand, desk, or entryway console.
It’s the perfect blend of artistic form and everyday function.",2.52,2.1,16.66666667,https://drive.google.com/file/d/1FYQZtEDbmFWJssFzNzkUrlCSUS0ovA_0/view?usp=drive_link,16.67% Discount,,Face Glasses Holder,حامل نظارات منحوت بتصميم وجه جانبي تجريدي,,,"Black,White,,",
